sample_id,vulnerabilities,patches
63c493e38052faa2781a7ce4,[],[]
63c4940d8052faa2781a8c9d,[],[]
63dd948580aa29a6fd4868f5,"[{""from"": ""train/actions/tj-actions/branch-names/9cd06d955f41/action.yml:42"", ""to"": ""train/actions/tj-actions/branch-names/9cd06d955f41/action.yml:42"", ""explanation"": ""Untrusted `github.head_ref` is used directly in a `run:` shell command inside the composite action `tj-actions/branch-names@9cd06d955f4184031cd71fbb1717ac268ade2ee0`, which is invoked by the workflow (cross-component code injection).""}]","[{""file"": ""train/actions/tj-actions/branch-names/9cd06d955f41/action.yml"", ""patch_file"": ""train/patches/63dd948580aa29a6fd4868f5.patch"", ""explanation"": ""Sanitized the github.head_ref taint flow following the upstream fix (tj-actions/branch-names@e497ceb8ccd43fd9573cf2e375216625bc411d1f), which both env-wraps untrusted context and removes the eval sinks. (1) Step 'branch': added env HEAD_REF_RAW: ${{ github.head_ref }} and replaced the inline interpolation in HEAD_REF=$(printf \""%q\"" \""${{ github.head_ref }}\"") with the quoted shell var \""$HEAD_REF_RAW\""; and removed the eval from the single attacker-influenced output sink in this step, changing $(eval printf \""%s\"" \""$HEAD_REF\"") -> $(printf \""%s\"" \""$HEAD_REF\"") so the head_ref-derived value can no longer reach a shell-evaluating sink. (2) Step 'current_branch': added env HEAD_REF_BRANCH: ${{ steps.branch.outputs.head_ref_branch }} (a downstream re-consumption of the tainted head_ref via set-output) and replaced the interpolation in the echo ::set-output with $HEAD_REF_BRANCH. (3) Step 'default': added env CURRENT_BRANCH: ${{ steps.current_branch.outputs.current_branch }} (further downstream re-consumption) and replaced the [[ ]] comparison operand with \""$CURRENT_BRANCH\"". Trusted expressions and their eval sinks were left byte-identical, including $(eval printf \""%s\"" \""$REF_BRANCH\"") (REF_BRANCH derives from trusted github.ref, not the github.head_ref source) as well as github.ref, github.base_ref/$BASE_REF, github.event_name, github.event.repository.default_branch, steps.branch.outputs.ref_branch, inputs.strip_tag_prefix, and $TAG. No steps removed; all logic preserved.""}]"
63c4942b8052faa2781a99cb,[],[]
63c4942f7843b612699ff8e4,[],[]
63c4950a8052faa2781af111,[],[]
63c495278052faa2781afd67,[],[]
63dd94ae80aa29a6fd486d2b,"[{""from"": ""train/actions/emmyoop/changie_bot/e3a301a16308/action.yml:90"", ""to"": ""train/actions/emmyoop/changie_bot/e3a301a16308/action.yml:90"", ""explanation"": ""Untrusted `github.event.pull_request.title` is used directly in a `run:` shell command inside the composite action `emmyoop/changie_bot@e3a301a163081c1ea67cbc483ce2b3a07eb9a083`, which is invoked by the workflow (cross-component code injection).""}, {""from"": ""train/workflows/63dd94ae80aa29a6fd486d2b.yml:54"", ""to"": ""train/actions/emmyoop/changie_bot/e3a301a16308/action.yml:103"", ""explanation"": ""Untrusted `github.event.pull_request.title` is passed as an input `commit_message` to the composite action `emmyoop/changie_bot@e3a301a163081c1ea67cbc483ce2b3a07eb9a083` and then used in a `run:` shell command (cross-component code injection).""}]","[{""file"": ""train/actions/emmyoop/changie_bot/e3a301a16308/action.yml"", ""patch_file"": ""train/patches/63dd94ae80aa29a6fd486d2b.patch"", ""explanation"": ""Two cross-component script-injection sinks fed by untrusted github.event.pull_request.title were sanitized in this composite action. Sink 1 (Create file from template step, line 90): the direct ${{ github.event.pull_request.title }} interpolation inside a single-quoted echo writing YAML was moved into the step env as PR_TITLE and the echo restructured to `echo \""body: \\\""$PR_TITLE\\\""\""` so the value is passed via the environment and shell-quoted rather than spliced into the command. Sink 2 (Commit & Push changes step, line 103): the PR title arrives via the action input inputs.commit_message; it was moved into the step env as COMMIT_MESSAGE and `git commit -m \""$COMMIT_MESSAGE\""` now references the quoted env var instead of interpolating ${{ inputs.commit_message }} directly. Trusted inputs (changie_kind, custom_changelog_string, commit_author_name, commit_author_email) were left unchanged.""}]"
63c4953b8052faa2781b06d1,[],[]
63c4955e8052faa2781b15fe,[],[]
63c495637843b61269a07445,[],[]
63c4956f7843b61269a079c1,[],[]
63dd94b0045fe2c0b716249f,"[{""from"": ""train/workflows/63dd94b0045fe2c0b716249f.yml:21"", ""to"": ""train/workflows/63dd94b0045fe2c0b716249f.yml:21"", ""explanation"": ""Untrusted `github.head_ref` is used directly in a `run:` shell command in the workflow (single-component code injection).""}]","[{""file"": ""train/workflows/63dd94b0045fe2c0b716249f.yml"", ""patch_file"": ""train/patches/63dd94b0045fe2c0b716249f.patch"", ""explanation"": ""Hardened all 3 tainted run: sinks of the github.head_ref taint flow. (1) Line 21 'sanitize branch name' step: added env: HEAD_REF: ${{ github.head_ref }} and replaced the direct ${{ github.head_ref }} interpolation in the run: shell with the quoted shell var \""$HEAD_REF\"". (2) Line 64 'Build, tag, and push image' step: this step already exposed BRANCH_NAME via its env: map (BRANCH_NAME: ${{ steps.branch-name.outputs.BRANCH }}, which carries the head_ref taint through $GITHUB_ENV/outputs); replaced the direct ${{ env.BRANCH_NAME }} interpolation in the .env heredoc with the quoted shell var \""$BRANCH_NAME\"". (3) Line 112 'deploy to eks' step: this step also already exposed BRANCH_NAME via env:; replaced export BRANCH_NAME=${{ env.BRANCH_NAME }} with export BRANCH_NAME=\""$BRANCH_NAME\"". Trusted expressions (secrets.*, github.event.pull_request.*, steps.login-ecr.outputs.registry, env vars derived from constants) were left byte-identical. No steps removed; all logic preserved.""}]"
63c495718052faa2781b1db7,[],[]
63c495a27843b61269a08eaa,[],[]
63c495a37843b61269a08f22,[],[]
63c495e27843b61269a0a969,[],[]
